amplitud_baja
amplitud_excesiva
amplitud_desbalance
velocidad_media_low
velocidad_media_high
simetria_low
simetria_high
nivel_rango_low
nivel_rango_high
variedad_direcciones_low
variedad_direcciones_high
frames_low
frames_high
